Driver Users User ID,Driver Users Metro ID,Latitude,Longitude,Driver Rating
31509,31,39.83028117,-75.441862,3
42548,31,39.63896,-75.6895,3
37975,31,39.95902,-75.26403,3
42327,31,40.08867,-74.9748,3
27359,31,40.096398,-75.027194,3
38702,31,40.04979,-75.1499,3
40703,31,39.74863,-75.53525,3
32285,31,40.04951,-75.10556,3
42974,31,40.00931,-75.15403,3
40144,29,28.50392817,-81.2871105,3
17252,29,28.497898,-81.444145,3
30814,29,28.48861,-81.32742,3
16876,29,28.11841965,-81.61904907,3
13760,29,28.43828,-81.47921,3
13755,29,28.62104,-81.18412,3
24162,29,28.40839,-81.4156,3
18115,29,28.50083,-81.45631,3
17512,29,28.06591,-81.81874,3
27200,29,28.56616,-81.31353,3
31138,29,28.3439,-81.49445,3
26825,29,28.33741,-81.49228,3
14045,29,28.49894,-81.44643,3
29061,29,28.30259,-81.5629,4
7330,29,28.59865,-81.43843,3
16056,29,28.57343313,-81.26852872,5
38105,29,28.39387,-81.38127,3
25682,29,28.31906,-81.67045,3
41449,2,41.89953,-87.99598,3
19650,2,41.769261,-88.034693,3
32592,2,41.82200983,-87.86600383,4
43055,2,41.67041,-88.49465,3
41561,2,42.38015,-88.98747,3
42491,2,41.94817,-87.95751,3
29011,2,41.91842,-87.99718,3
24724,2,41.859107,-87.979808,3
42950,2,41.786328,-88.20703833,5
27923,2,41.87071,-87.90701,3
40637,2,41.61835,-88.22991,3
43232,2,42.23522733,-88.847754,3
21391,2,41.59221,-88.03822,3
24756,2,41.704923,-88.069767,5
40636,2,41.93265,-88.07795,3
13778,2,41.75351,-87.58479,3
36103,2,41.796141,-87.956067,3
42973,2,41.555713,-87.697052,3
42538,2,41.76932,-88.0348,3
30754,2,41.92786,-88.07632,3
9600,2,41.7397,-88.04857,3
20665,2,42.049895,-87.97201833,3
39667,2,41.91649,-87.98451,4
24818,2,41.84925,-87.9999,3
36323,2,41.63385,-88.10733,3
43033,2,41.82787,-87.80242,3
31960,2,41.87597,-87.75837,3
13853,2,41.71021,-87.569,3
10829,2,41.66388,-87.62783,3
42237,2,41.71357,-88.20087,3
27147,2,41.829,-87.78567,3
42470,2,41.74012,-88.12266,3
28556,2,41.79529,-88.10966,3
38866,2,41.75642,-87.66446,3
7767,2,41.88164,-87.7823,4
8295,2,41.99611,-88.31033,5
43046,2,41.88278,-87.80908,3
24746,2,41.74307,-87.72485,3
39638,2,41.53647,-88.08733,3
43336,2,41.75088,-88.22945,3
136,2,41.78399,-88.03306,3
43234,2,41.75943,-88.32597,3
5745,2,41.82582,-87.69289,5
26985,2,41.7508485,-87.97125367,3
43434,2,42.014301,-88.082718,3
41948,90,40.84439,-73.90924,3
42039,90,40.11626,-75.3376,3
36727,90,40.8321,-73.94853,3
42804,90,40.68931,-73.85819,3
42578,90,40.73639,-73.88197,3
40433,90,40.68665695,-73.37553406,3
43331,90,40.82556,-73.87764,3
43340,90,40.83615,-73.9279,3
40511,90,40.81613645,-73.86878622,3
11689,90,40.86576,-74.02947,3
42016,90,40.86704,-73.88475,3
16336,90,40.74756,-73.90218,5
40434,90,40.54193,-74.17634,3
36728,90,40.73879,-73.88195,3
42103,90,40.95651933,-73.84260417,3
42690,90,40.72701,-74.06549,3
40438,90,40.81407,-73.95759,3
43020,90,40.69509333,-73.97459667,3
43594,90,40.84714,-73.88289,3
43332,90,40.65598,-73.9346,5
43021,90,40.85196,-73.91941,3
40436,90,40.76503,-73.98804,3
40430,90,40.78636,-73.9444,3
36056,89,40.81313,-73.85521,3
36758,89,40.82964,-73.91406,3
23263,89,40.80213,-73.93835,3
42687,89,40.91573833,-73.89556167,3
36289,89,40.8203,-73.89411,4
7536,89,40.61541,-74.15596,4
31011,89,40.87975,-73.88158,3
22402,89,40.63858,-73.91014,4
41558,89,40.84013,-73.88927,3
40568,89,40.711187,-73.983604,4
39926,89,40.84772,-73.93839,4
